episode: 097	 steps: 05827	 total steps:821022	 epsilon: 0.26
episode: 098	 steps: 03258	 total steps:824280	 epsilon: 0.26
episode: 099	 steps: 05595	 total steps:829875	 epsilon: 0.25
episode: 100	 steps: 02798	 total steps:832673	 epsilon: 0.25
Evaluation: 2	 average reward: -8746.0
episode: 101	 steps: 02864	 total steps:835537	 epsilon: 0.25
episode: 102	 steps: 01310	 total steps:836847	 epsilon: 0.25
episode: 103	 steps: 01329	 total steps:838176	 epsilon: 0.25
episode: 104	 steps: 02732	 total steps:840908	 epsilon: 0.24
episode: 105	 steps: 10000	 total steps:850908	 epsilon: 0.23
episode: 106	 steps: 03580	 total steps:854488	 epsilon: 0.23
episode: 107	 steps: 10000	 total steps:864488	 epsilon: 0.22
episode: 108	 steps: 02030	 total steps:866518	 epsilon: 0.22
episode: 109	 steps: 10000	 total steps:876518	 epsilon: 0.21
episode: 110	 steps: 02004	 total steps:878522	 epsilon: 0.21
episode: 111	 steps: 07434	 total steps:885956	 epsilon: 0.20
episode: 112	 steps: 02567	 total steps:888523	 epsilon: 0.20
episode: 113	 steps: 01995	 total steps:890518	 epsilon: 0.20
episode: 114	 steps: 10000	 total steps:900518	 epsilon: 0.19
episode: 115	 steps: 06759	 total steps:907277	 epsilon: 0.18
episode: 116	 steps: 00879	 total steps:908156	 epsilon: 0.18
episode: 117	 steps: 03138	 total steps:911294	 epsilon: 0.18
episode: 118	 steps: 04012	 total steps:915306	 epsilon: 0.18
episode: 119	 steps: 01182	 total steps:916488	 epsilon: 0.18
episode: 120	 steps: 02646	 total steps:919134	 epsilon: 0.17
episode: 121	 steps: 07335	 total steps:926469	 epsilon: 0.17
episode: 122	 steps: 00782	 total steps:927251	 epsilon: 0.17
episode: 123	 steps: 04612	 total steps:931863	 epsilon: 0.16
episode: 124	 steps: 10000	 total steps:941863	 epsilon: 0.15
episode: 125	 steps: 05058	 total steps:946921	 epsilon: 0.15
episode: 126	 steps: 03867	 total steps:950788	 epsilon: 0.14
episode: 127	 steps: 00584	 total steps:951372	 epsilon: 0.14
episode: 128	 steps: 00316	 total steps:951688	 epsilon: 0.14
episode: 129	 steps: 04985	 total steps:956673	 epsilon: 0.14
episode: 130	 steps: 02425	 total steps:959098	 epsilon: 0.14
episode: 131	 steps: 03873	 total steps:962971	 epsilon: 0.13
episode: 132	 steps: 03303	 total steps:966274	 epsilon: 0.13
episode: 133	 steps: 05670	 total steps:971944	 epsilon: 0.13
episode: 134	 steps: 04898	 total steps:976842	 epsilon: 0.12
episode: 135	 steps: 01614	 total steps:978456	 epsilon: 0.12
episode: 136	 steps: 03358	 total steps:981814	 epsilon: 0.12
